ServiceNo,Operator,Direction,StopSequence,BusStopCode,Distance,WD_FirstBus,WD_LastBus,SAT_FirstBus,SAT_LastBus,SUN_FirstBus,SUN_LastBus,Category,AM_Peak_Freq,AM_Offpeak_Freq,PM_Peak_Freq,PM_Offpeak_Freq,RoadName,Description,Latitude,Longitude
101,SBST,1,1,66009,0.0,0515,2400,0515,2400,0515,2400,TRUNK,08-09,07-13,08-09,08-14,S'goon Ave 2,S'Goon Int,1.35046610176969,103.87168992264615
101,SBST,1,46,66009,15.5,0606,0059,0603,0101,0604,0100,TRUNK,08-09,07-13,08-09,08-14,S'goon Ave 2,S'Goon Int,1.35046610176969,103.87168992264615
158,SBST,1,1,66009,0.0,0545,2330,0545,2330,0600,2330,TRUNK,11-13,10-16,13-14,13-17,S'goon Ave 2,S'Goon Int,1.35046610176969,103.87168992264615
158,SBST,1,68,66009,25.4,0641,0048,0630,0046,0652,0047,TRUNK,11-13,10-16,13-14,13-17,S'goon Ave 2,S'Goon Int,1.35046610176969,103.87168992264615
315,SBST,1,1,66009,0.0,0530,0050,0530,0050,0530,0050,FEEDER,8-9,8-14,9-10,10-14,S'goon Ave 2,S'Goon Int,1.35046610176969,103.87168992264615
315,SBST,1,34,66009,13.1,0544,0123,0540,0123,0605,0122,FEEDER,8-9,8-14,9-10,10-14,S'goon Ave 2,S'Goon Int,1.35046610176969,103.87168992264615
317,SBST,1,1,66009,0.0,0530,0050,0530,0050,0545,0050,FEEDER,7-9,8-16,8-10,9-17,S'goon Ave 2,S'Goon Int,1.35046610176969,103.87168992264615
317,SBST,1,33,66009,9.5,0605,0122,0601,0121,0617,0122,FEEDER,7-9,8-16,8-10,9-17,S'goon Ave 2,S'Goon Int,1.35046610176969,103.87168992264615
101,SBST,1,2,62131,0.5,0517,0002,0517,0002,0517,0002,TRUNK,08-09,07-13,08-09,08-14,Upp S'goon Rd,S'Goon Stn Exit H,1.3489790064228,103.87277432797596
107M,SBST,1,60,62131,22.0,2050,0026,1505,0031,0658,0022,TRUNK,14-15,09-17,13-16,13-14,Upp S'goon Rd,S'Goon Stn Exit H,1.3489790064228,103.87277432797596
317,SBST,1,2,62131,0.5,0532,0052,0531,0052,0547,0052,FEEDER,7-9,8-16,8-10,9-17,Upp S'goon Rd,S'Goon Stn Exit H,1.3489790064228,103.87277432797596
101,SBST,1,3,62141,0.9,0518,0003,0518,0003,0518,0004,TRUNK,08-09,07-13,08-09,08-14,Upp S'goon Rd,Opp Blk 1,1.35149112412235,103.87515194713768
107M,SBST,1,61,62141,22.4,2052,0028,1507,0032,0659,0023,TRUNK,14-15,09-17,13-16,13-14,Upp S'goon Rd,Opp Blk 1,1.35149112412235,103.87515194713768
116,SBST,1,20,62141,6.6,0611,2353,0610,2353,0609,2353,TRUNK,09-10,10-14,10-10,10-14,Upp S'goon Rd,Opp Blk 1,1.35149112412235,103.87515194713768
317,SBST,1,3,62141,0.9,0533,0052,0532,0052,0548,0053,FEEDER,7-9,8-16,8-10,9-17,Upp S'goon Rd,Opp Blk 1,1.35149112412235,103.87515194713768
53,SBST,1,12,62141,5.5,0537,2333,0537,2334,0537,2332,TRUNK,07-11,05-11,06-12,09-12,Upp S'goon Rd,Opp Blk 1,1.35149112412235,103.87515194713768
53M,SBST,1,11,62141,3.6,0617,2314,0614,2315,0614,2313,TRUNK,6-17,4-25,7-22,5-23,Upp S'goon Rd,Opp Blk 1,1.35149112412235,103.87515194713768
70M,SBST,1,28,62141,9.9,1848,2333,1848,2333,0616,2332,TRUNK,14-15,14-15,14-14,14-15,Upp S'goon Rd,Opp Blk 1,1.35149112412235,103.87515194713768
101,SBST,1,4,63011,1.4,0520,0005,0520,0005,0520,0006,TRUNK,08-09,07-13,08-09,08-14,Upp S'goon Rd,Opp Upp S'Goon Shop Ctr,1.35432115760902,103.87823575937183
107M,SBST,1,62,63011,22.9,2054,0030,1509,0034,0700,0025,TRUNK,14-15,09-17,13-16,13-14,Upp S'goon Rd,Opp Upp S'Goon Shop Ctr,1.35432115760902,103.87823575937183
81,SBST,1,36,63011,17.7,0551,0033,0552,0037,0606,0036,TRUNK,10-12,07-12,07-14,13-18,Upp S'goon Rd,Opp Upp S'Goon Shop Ctr,1.35432115760902,103.87823575937183
